"Sr. No.","TIN","GSTIN/PID","Firm Name","Address","Assessment Circle","Tax Type","Return Form Type","RC Effective Date","Status","Cancellation Date","Type Of Dealer"
"78","33146319128","33AWNPV5606N1ZU","A N H LEATHERS","No.4/67,Na,Amburambur,Tamil Nadu,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","01/07/2015","Active","-","Normal Dealer"
"79","33930423470","33BCDPA7026E1ZA","A N M LEATHER COMPANY","No:27/48,1st Floor,Kattur Sadayappan Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","16/07/2013","Active","-","Normal Dealer"
"80","33930423470","33BCDPA7026E1ZA","A N M LEATHER COMPANY","No:27/48,1st Floor,Kattur Sadayappan Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","05/07/2013","Active","-","Normal Dealer"
"81","33885240566","33ADZPN1140Q1ZY","A N S LEATHERS AND CHEPPALS","No.5,Thirunagar,Mspschool Oppositedindigul,Tamil Nadu,624005","DINDIGUL(FORT) (Circle)","Central Sales Tax","CST FORM NO.1","05/01/2007","Active","-","Normal Dealer"
"82","33885240566","33ADZPN1140Q1ZY","A N S LEATHERS AND CHEPPALS","No.5,Thirunagar,Mspschool Oppositedindigul,Tamil Nadu,624005","DINDIGUL(FORT) (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"83","33650525183","33AHLPM6159J1ZY","A N Z LEATHER FASHION","No.5/19,Na,E.K. Guru Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","08/07/2013","Active","-","Normal Dealer"
"84","33650525183","33AHLPM6159J1ZY","A N Z LEATHER FASHION","No.5/19,Na,E.K. Guru Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","08/07/2013","Active","-","Normal Dealer"
"85","33794264359","33BJGPP7403L1Z1","A P LEATHERS","15/6,Na,Mohamed Pura Mosque Opp.Street,Amburambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","13/07/2011","Active","-","Normal Dealer"
"86","33794264359","33BJGPP7403L1Z1","A P LEATHERS","15/6,Na,Mohamed Pura Mosque Opp.Street,Amburambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","09/07/2011","Active","-","Normal Dealer"
"87","33846351141","33ABDFA4450G1ZW","A R A LEATHERS","Old.6/1, New.11,Na,Rama Pillai Street, Periamet,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","05/11/2015","Active","-","Normal Dealer"
"88","33846351141","33ABDFA4450G1ZW","A R A LEATHERS","Old.6/1, New.11,Na,Rama Pillai Street, Periamet,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","05/11/2015","Active","-","Normal Dealer"
"89","33606300057","33ABBFA8208N1ZF","A S K LEATHERS","S.F.No.477/1,Mukundharapuram Village,Sipcot Industrial Complex,Coramandal Backside Road Walaja Tk Ranipet,Tamil Nadu,Vellore,632403","RANIPET SIPCOT (Circle)","Central Sales Tax","CST FORM NO.1","01/04/2015","Active","-","Normal Dealer"
"90","33606300057","33ABBFA8208N1ZF","A S K LEATHERS","S.F.No.477/1,Mukundharapuram Village,Sipcot Industrial Complex,Coramandal Backside Road Walaja Tk Ranipet,Tamil Nadu,Vellore,632403","RANIPET SIPCOT (Circle)","Value Added Tax","VAT FORM I","01/04/2015","Active","-","Normal Dealer"
"91","33976398994","33ABFFA4522K1ZO","A S LEATHER EXPORTS","No.5/4,Macfor Lane,Periamet,Tamil Nadu,Chennai,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","25/07/2016","Active","-","Normal Dealer"
"92","33976398994","33ABFFA4522K1ZO","A S LEATHER EXPORTS","No.5/4,Macfor Lane,Periamet,Tamil Nadu,Chennai,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","25/07/2016","Active","-","Normal Dealer"
"93","33036336988","33ABCFA3576E1ZS","A S LEATHERS","1097 1st Floor,Bushara Complex,Vaniyambadivaniyambadi,Tamil Nadu,635751","VANIYAMBADI (Circle)","Central Sales Tax","CST FORM NO.1","24/08/2015","Active","-","Normal Dealer"
"94","33036336988","33ABCFA3576E1ZS","A S LEATHERS","1097 1st Floor,Bushara Complex,Vaniyambadivaniyambadi,Tamil Nadu,635751","VANIYAMBADI (Circle)","Value Added Tax","VAT FORM I","24/08/2015","Active","-","Normal Dealer"
"95","33916417333","33AZAPA6002H1Z7","A S LEATHERS","No 134,Jameela Bad 3rd Street,Melvisharam,Tamil Nadu,Vellore,632509","ARCOT (Circle)","Central Sales Tax","CST FORM NO.1","03/10/2016","Active","-","Normal Dealer"
"96","33916417333","33AZAPA6002H1Z7","A S LEATHERS","No 134,Jameela Bad 3rd Street,Melvisharam,Tamil Nadu,Vellore,632509","ARCOT (Circle)","Value Added Tax","VAT FORM I","03/10/2016","Active","-","Normal Dealer"
"97","33514263931","33AFVPA2684Q1ZS","A SHANMUGUM PROP OF A S N LEATHERS","50/A,Na,Broad Bazaar,Satheesh Hotel Complex,Ambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","30/12/2009","Active","-","Normal Dealer"
"98","33514263931","33AFVPA2684Q1ZS","A SHANMUGUM PROP OF A S N LEATHERS","50/A,Na,Broad Bazaar,Satheesh Hotel Complex,Ambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","29/12/2009","Active","-","Normal Dealer"
"99","33594342651","33BHDPR4598D1Z6","A T M ASSOCIATES PROP M ATHEEQUR RAHMAN","67/28-A,Na,Small Mosque Street,Gudiyatham Taluk,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","30/10/2007","Active","-","Normal Dealer"
"100","33594342651","33BHDPR4598D1Z6","A T M ASSOCIATES PROP M ATHEEQUR RAHMAN","67/28-A,Na,Small Mosque Street,Gudiyatham Taluk,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","30/10/2007","Active","-","Normal Dealer"
"101","33360440128","33AAACA6246K1ZS","A V THOMAS LEATHER AND ALLIED PRODUCTS PRIVATE LIMITED","22,Marshalls Road,Chennai,Tamil Nadu,600008","EGMORE (Circle)","Central Sales Tax","CST FORM NO.1","14/07/2008","Active","-","Normal Dealer"
"102","33360440128","33AAACA6246K1ZS","A V THOMAS LEATHER AND ALLIED PRODUCTS PRIVATE LIMITED","22,Marshalls Road,Chennai,Tamil Nadu,600008","EGMORE (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"103","33434643536","33AATFA3262D1ZO","AAAF LEATHER EXPORTS","No.1475,Na,1044/1045 I St Floor, P.J.Nehru Road,,Vaniyambadivaniyambadi,Tamil Nadu,Vellore,635751","VANIYAMBADI (Circle)","Central Sales Tax","CST FORM NO.1","15/07/2011","Active","-","Normal Dealer"
"104","33434643536","33AATFA3262D1ZO","AAAF LEATHER EXPORTS","No.1475,Na,1044/1045 I St Floor, P.J.Nehru Road,,Vaniyambadivaniyambadi,Tamil Nadu,Vellore,635751","VANIYAMBADI (Circle)","Value Added Tax","VAT FORM I","15/07/2011","Active","-","Normal Dealer"
"105","33336376457","33ASCPM7151Q1ZC","AABIDHA LEATHER GOODS","9,Selva Vinayagar Koil Street, Prashanthi Nagar,Chromepet,Tamil Nadu,Chennai,600044","PAMMAL (Circle)","Central Sales Tax","CST FORM NO.1","18/02/2016","Active","-","Normal Dealer"
"106","33336376457","33ASCPM7151Q1ZC","AABIDHA LEATHER GOODS","9,Selva Vinayagar Koil Street, Prashanthi Nagar,Chromepet,Tamil Nadu,Chennai,600044","PAMMAL (Circle)","Value Added Tax","VAT FORM I","18/02/2016","Active","-","Normal Dealer"
"107","33116254979","33AGEPA5921E1Z2","AADHAVA LEATHER EXPORTS","88/1,Na,Kavarai Street,Kaspa Aambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","04/09/2014","Active","-","Normal Dealer"
"108","33116254979","33AGEPA5921E1Z2","AADHAVA LEATHER EXPORTS","88/1,Na,Kavarai Street,Kaspa Aambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","04/09/2014","Active","-","Normal Dealer"
"109","33030422413","33AHJPA5621R1Z7","AADHIL LEATHER EXPORT","14/2,Na,Patnool Sardar Jung Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","10/08/2005","Active","-","Normal Dealer"
"110","33030422413","33AHJPA5621R1Z7","AADHIL LEATHER EXPORT","14/2,Na,Patnool Sardar Jung Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"111","33563076090","33AFKPM8464R1ZJ","AADIL LEATHER COM A.M SATHICK TANNERY","0,Na,Maravapalayam,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","26/04/2000","Active","-","Normal Dealer"
"112","33563076090","33AFKPM8464R1ZJ","AADIL LEATHER COM A.M SATHICK TANNERY","0,Na,Maravapalayam,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"113","33920520427","33AAACA3054D1ZF","AADIL LEATHER PRODUCTS (P) LTD.","65,Na,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","17/08/2007","Active","-","Normal Dealer"
"114","33920520427","33AAACA3054D1ZF","AADIL LEATHER PRODUCTS (P) LTD.","65,Na,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"115","33946275135","33CIOPM5621F1ZA","AAFIYA LEATHER COMPANY","New No. 67old No.39,Na,Wuthucattan Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","23/12/2014","Active","-","Normal Dealer"
"116","33946275135","33CIOPM5621F1ZA","AAFIYA LEATHER COMPANY","New No. 67old No.39,Na,Wuthucattan Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","23/12/2014","Active","-","Normal Dealer"
"117","33540523643","33AHCPJ8927C1ZL","AAFIYAH LETHER EXPORTS","No.25/2,Na,Barracks Road,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","27/12/2005","Active","-","Normal Dealer"
"118","33540523643","33AHCPJ8927C1ZL","AAFIYAH LETHER EXPORTS","No.25/2,Na,Barracks Road,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"119","33570423183","33ARNPM7666A1ZO","AAKIF LEATHER EXPORTS.","13/7,1 St.Floor,Muthu Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","30/07/2011","Active","-","Normal Dealer"
"120","33570423183","33ARNPM7666A1ZO","AAKIF LEATHER EXPORTS.","13/7,1 St.Floor,Muthu Street,Periametchennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","30/07/2011","Active","-","Normal Dealer"
"121","33143077388","33BLKPM1833R1ZM","AAMINA LEATHERS","11,C/O R.S.A.Abdul Kader Tannery,B P Agraharam Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","06/06/2014","Active","-","Normal Dealer"
"122","33143077388","33BLKPM1833R1ZM","AAMINA LEATHERS","11,C/O R.S.A.Abdul Kader Tannery,B P Agraharam Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","02/06/2014","Active","-","Normal Dealer"
"123","33246273192","33ABHPF4155D1Z6","AAMINA LEATHER EXPORTS","No.1,Na,Mottukkollai West Street,Amburambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","10/12/2014","Active","-","Normal Dealer"
"124","33246273192","33ABHPF4155D1Z6","AAMINA LEATHER EXPORTS","No.1,Na,Mottukkollai West Street,Amburambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","10/12/2014","Active","-","Normal Dealer"
"125","33156407418","33AJIPA7211Q1Z7","AAMINA LEATHERS","4/D,Kellys Road,Navalpur Ranipet,Tamil Nadu,Vellore,632402","RANIPET (Circle)","Central Sales Tax","CST FORM NO.1","29/08/2016","Active","-","Normal Dealer"
"126","33156407418","33AJIPA7211Q1Z7","AAMINA LEATHERS","4/D,Kellys Road,Navalpur Ranipet,Tamil Nadu,Vellore,632402","RANIPET (Circle)","Value Added Tax","VAT FORM I","29/08/2016","Active","-","Normal Dealer"
"127","33384342621","33AKMPM7225P1ZL","AARSON LEATHERS","619/191,Na,High Road,Gudiyatham Taluk,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","11/09/2007","Active","-","Normal Dealer"
"128","33384342621","33AKMPM7225P1ZL","AARSON LEATHERS","619/191,Na,High Road,Gudiyatham Taluk,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","11/09/2007","Active","-","Normal Dealer"
"129","33693307412","33BQBPS2005R1ZP","AARTHE DIESEL AUTO WORKS","369/295,Opp. Pallavan Grama Bank,Salem Main Road.,Krishnagiri Postkrishnagiri Taluk,Tamil Nadu,635001","KRISHNAGIRI-I (Circle)","Central Sales Tax","CST FORM NO.1","10/02/2014","Active","-","Normal Dealer"
"130","33693307412","33BQBPS2005R1ZP","AARTHE DIESEL AUTO WORKS","369/295,Opp. Pallavan Grama Bank,Salem Main Road.,Krishnagiri Postkrishnagiri Taluk,Tamil Nadu,635001","KRISHNAGIRI-I (Circle)","Value Added Tax","VAT FORM I,VAT FORM I-1","10/02/2014","Active","-","Normal Dealer"
"131","33363076685","33AWGPM2430A1Z9","AASHIK LEATHERS","133,Na,Bhavani Main Road..,Peria Agraharam,Tamil Nadu,Erode,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","05/03/2007","Active","-","Normal Dealer"
"132","33363076685","33AWGPM2430A1Z9","AASHIK LEATHERS","133,Na,Bhavani Main Road..,Peria Agraharam,Tamil Nadu,Erode,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","05/03/2007","Active","-","Normal Dealer"
"133","33780422049","33AAHPF3878J1ZJ","AASHIQE LEATHER EXPORT","14/2,Na,Patnool Sardar Jung Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","28/05/2002","Active","-","Normal Dealer"
"134","33780422049","33AAHPF3878J1ZJ","AASHIQE LEATHER EXPORT","14/2,Na,Patnool Sardar Jung Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"135","33036255411","33AUZPA2158E1ZP","AASIFA LEATHER EXPORTS","No.19,Na,Jalalpet 2nd Street,Amburambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","11/09/2014","Active","-","Normal Dealer"
"136","33036255411","33AUZPA2158E1ZP","AASIFA LEATHER EXPORTS","No.19,Na,Jalalpet 2nd Street,Amburambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","01/08/2014","Active","-","Normal Dealer"
"137","33404643019","33AAPFA6198L1ZU","AASIM LEATHER EXPORTS","290/A,Na,A.Khader Hussain Street,,Vaniyambadi,Tamil Nadu,Vellore,635751","VANIYAMBADI (Circle)","Central Sales Tax","CST FORM NO.1","08/06/2009","Active","-","Normal Dealer"
"138","33404643019","33AAPFA6198L1ZU","AASIM LEATHER EXPORTS","290/A,Na,A.Khader Hussain Street,,Vaniyambadi,Tamil Nadu,Vellore,635751","VANIYAMBADI (Circle)","Value Added Tax","VAT FORM I","24/11/2008","Active","-","Normal Dealer"
"139","33266325658","33ABHPI0171L1ZU","AASIYA LEATHER","No.364,Na,Third Street Nandhiyalam Village Vellore Dist,Tamil Nadu,632517","RANIPET SIPCOT (Circle)","Central Sales Tax","CST FORM NO.1","29/06/2015","Active","-","Normal Dealer"
"140","33266325658","33ABHPI0171L1ZU","AASIYA LEATHER","No.364,Na,Third Street Nandhiyalam Village Vellore Dist,Tamil Nadu,632517","RANIPET SIPCOT (Circle)","Value Added Tax","VAT FORM I","29/06/2015","Active","-","Normal Dealer"
"141","33056243081","33AMIPK1928K1ZZ","AATHEESWAR TEXTILES","11/5-1,Na,Karai Kuttai Thottam,Coimbatore,Tamil Nadu,641402","PALLADAM-2 (Circle)","Central Sales Tax","CST FORM NO.1","10/08/2004","Active","-","Normal Dealer"
"142","33056243081","33AMIPK1928K1ZZ","AATHEESWAR TEXTILES","11/5-1,Na,Karai Kuttai Thottam,Coimbatore,Tamil Nadu,641402","PALLADAM-2 (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"143","33096472802","33AAEPK9140R1ZA","AAYISHA CLASSIC LEATHERS","53/2-A,Wuthucattan Street,Periamet,Tamil Nadu,Chennai,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","03/04/2017","Active","-","Normal Dealer"
"144","33096472802","33AAEPK9140R1ZA","AAYISHA CLASSIC LEATHERS","53/2-A,Wuthucattan Street,Periamet,Tamil Nadu,Chennai,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","30/03/2017","Active","-","Normal Dealer"
"145","33355261858","33AIBPA7075Q1Z2","AAYSHA LEATHERS","15,Na,Mathar Bava Street,Begambur Podindigul,Tamil Nadu,624002","DINDIGUL (RURAL) (Circle)","Central Sales Tax","CST FORM NO.1","05/01/2007","Active","-","Normal Dealer"
"146","33355261858","33AIBPA7075Q1Z2","AAYSHA LEATHERS","15,Na,Mathar Bava Street,Begambur Podindigul,Tamil Nadu,624002","DINDIGUL (RURAL) (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"147","33700524234","33BADPR4491J1ZF","AAYSHA MARIYAM LEATHER EXPORT","40,Wuthucattan Street Periamet,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","11/07/2008","Active","-","Normal Dealer"
"148","33700524234","33BADPR4491J1ZF","AAYSHA MARIYAM LEATHER EXPORT","40,Wuthucattan Street Periamet,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","10/07/2008","Active","-","Normal Dealer"
"149","33356483640","33BDBPB4726M1ZR","AB PREETHIKA LEATHERS","203/17,Bhavani Main Road,B P Agraharam Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","01/04/2017","Active","-","Normal Dealer"
"150","33356483640","33BDBPB4726M1ZR","AB PREETHIKA LEATHERS","203/17,Bhavani Main Road,B P Agraharam Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","01/04/2017","Active","-","Normal Dealer"
"151","33900300151","33AAAFA7382D1ZU","ABBAS BROTHERS","64/47,Devaraja Mudali Street, First Front Side Shop No 1 In Ground Floor,,Chennai,Tamil Nadu,600003","MOORE MARKET (Circle)","Central Sales Tax","CST FORM NO.1","02/02/1966","Active","-","Normal Dealer"
"152","33900300151","33AAAFA7382D1ZU","ABBAS BROTHERS","64/47,Devaraja Mudali Street, First Front Side Shop No 1 In Ground Floor,,Chennai,Tamil Nadu,600003","MOORE MARKET (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"153","33056311272","33CMUPM4295F1ZK","ABBAS LEATHERS PROP.MD FUZAIL","15/2,Na,Arab Nagar V.Kota Road,Pernambutgudiyattam Taluk,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","13/05/2015","Active","-","Normal Dealer"
"154","33056311272","33CMUPM4295F1ZK","ABBAS LEATHERS PROP.MD FUZAIL","15/2,Na,Arab Nagar V.Kota Road,Pernambutgudiyattam Taluk,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","13/05/2015","Active","-","Normal Dealer"
"155","33573076909","33APTPM9402Q1Z3","ABBASS LEATHER INDUSTRIES","No 1,Na,Sathy Bhavani Connection Road,,B P Agraharam,Tamil Nadu,Erode,638001","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","28/01/2009","Active","-","Normal Dealer"
"156","33573076909","33APTPM9402Q1Z3","ABBASS LEATHER INDUSTRIES","No 1,Na,Sathy Bhavani Connection Road,,B P Agraharam,Tamil Nadu,Erode,638001","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","28/01/2009","Active","-","Normal Dealer"
"157","33596353558","33ADZPA3822E1ZR","ABC LEATHERS","4/480,Na,Thiruvalluvar Nagar Sipcot Ranipet,Tamil Nadu,632403","RANIPET SIPCOT (Circle)","Central Sales Tax","CST FORM NO.1","01/11/2015","Active","-","Normal Dealer"
"158","33596353558","33ADZPA3822E1ZR","ABC LEATHERS","4/480,Na,Thiruvalluvar Nagar Sipcot Ranipet,Tamil Nadu,632403","RANIPET SIPCOT (Circle)","Value Added Tax","VAT FORM I","01/11/2015","Active","-","Normal Dealer"
"159","33533077028","33AOSPM5075M1Z9","ABC LEATHERS","9,Na,Bhavani Main Road,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","21/07/2010","Active","-","Normal Dealer"
"160","33533077028","33AOSPM5075M1Z9","ABC LEATHERS","9,Na,Bhavani Main Road,Erode,Tamil Nadu,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","15/07/2010","Active","-","Normal Dealer"
"161","33366252368","33ACCPU5087D1ZL","ABDUL AZEEZ LEATHER INTERNATIONAL","Sn.550,Na,Ponmandurai Roaddindigul,Tamil Nadu,624002","DINDIGUL (RURAL) (Circle)","Central Sales Tax","CST FORM NO.1","28/08/2014","Active","-","Normal Dealer"
"162","33366252368","33ACCPU5087D1ZL","ABDUL AZEEZ LEATHER INTERNATIONAL","Sn.550,Na,Ponmandurai Roaddindigul,Tamil Nadu,624002","DINDIGUL (RURAL) (Circle)","Value Added Tax","VAT FORM I","22/08/2014","Active","-","Normal Dealer"
"163","33223075210","33ABYPA7363F1ZI","ABDUL GANI LEATHERS","00,Na,Sakthi Bhavani Connection Road ,Periya Ageraharam,Tamil Nadu,Erode,638005","PERIYA AGRAHARAM (Circle)","Central Sales Tax","CST FORM NO.1","05/01/2007","Active","-","Normal Dealer"
"164","33223075210","33ABYPA7363F1ZI","ABDUL GANI LEATHERS","00,Na,Sakthi Bhavani Connection Road ,Periya Ageraharam,Tamil Nadu,Erode,638005","PERIYA AGRAHARAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"165","33184642752","33AZSPS0375D1Z7","ABHI LEATHERS","53,Na,1/P 1 C.N.A. Road, Pudur,Vaniyambadi,Tamil Nadu,Vellore,635751","VANIYAMBADI (Circle)","Central Sales Tax","CST FORM NO.1","01/10/2007","Active","-","Normal Dealer"
"166","33184642752","33AZSPS0375D1Z7","ABHI LEATHERS","53,Na,1/P 1 C.N.A. Road, Pudur,Vaniyambadi,Tamil Nadu,Vellore,635751","VANIYAMBADI (Circle)","Value Added Tax","VAT FORM I","01/10/2007","Active","-","Normal Dealer"
"167","33303076912","33AMDPR0008A1ZX","ABI LEATHER COMPANY","52,Na,Sasthiri Nagar,Erode,Tamil Nadu,630005","CHITHODE (Circle)","Central Sales Tax","CST FORM NO.1","01/02/2009","Active","-","Normal Dealer"
"168","33303076912","33AMDPR0008A1ZX","ABI LEATHER COMPANY","52,Na,Sasthiri Nagar,Erode,Tamil Nadu,630005","CHITHODE (Circle)","Value Added Tax","VAT FORM I","01/02/2009","Active","-","Normal Dealer"
"169","33406449006","33FZXPS1628K1ZK","ABI LEATHER CUTTING DIES","No 9/1,Avvai Nagar New West Street,Choolaimed,Tamil Nadu,Chennai,600094","MMDA COLONY (Circle)","Central Sales Tax","CST FORM NO.1","23/01/2017","Active","-","Normal Dealer"
"170","33406449006","33FZXPS1628K1ZK","ABI LEATHER CUTTING DIES","No 9/1,Avvai Nagar New West Street,Choolaimed,Tamil Nadu,Chennai,600094","MMDA COLONY (Circle)","Value Added Tax","VAT FORM I","23/01/2017","Active","-","Normal Dealer"
"171","33526423386","33AAZFA4859N1ZK","ABIDA LEATHER EXPORTS","6/8,Kailasagiri Road,Udayendiram Vaniyambadi,Tamil Nadu,Vellore,635754","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","22/10/2016","Active","-","Normal Dealer"
"172","33526423386","33AAZFA4859N1ZK","ABIDA LEATHER EXPORTS","6/8,Kailasagiri Road,Udayendiram Vaniyambadi,Tamil Nadu,Vellore,635754","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","22/10/2016","Active","-","Normal Dealer"
"173","33156368230","33AABFA3137B1ZC","ABIRAMI LEATHER INDUSTRIES","No 85,Sidco Industrial Estate,Sipcot Ranipet,Tamil Nadu,Vellore,632403","RANIPET SIPCOT (Circle)","Value Added Tax","VAT FORM I","23/03/2016","Active","-","Normal Dealer"
"174","33230422788","33ABUPV5981E1ZZ","ABRAR LEATHERS","16/29-1,Na,Karpura Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","12/05/2008","Active","-","Normal Dealer"
"175","33230422788","33ABUPV5981E1ZZ","ABRAR LEATHERS","16/29-1,Na,Karpura Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","12/05/2008","Active","-","Normal Dealer"
"176","33334262672","33AJGPR5262E1ZA","ABRAR LEATHER COMPANY","21/9,Na,Orsala Alauddin Street,Ambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Central Sales Tax","CST FORM NO.1","14/09/2005","Active","-","Normal Dealer"
"177","33334262672","33AJGPR5262E1ZA","ABRAR LEATHER COMPANY","21/9,Na,Orsala Alauddin Street,Ambur,Tamil Nadu,Vellore,635802","AMBUR (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"178","33580523427","33AAECA7132Q1ZH","ABRAR LEATHER EXPORTS PRIVATE LIMITED","17/N-9,Na,E.K. Guru Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Central Sales Tax","CST FORM NO.1","01/05/2004","Active","-","Normal Dealer"
"179","33580523427","33AAECA7132Q1ZH","ABRAR LEATHER EXPORTS PRIVATE LIMITED","17/N-9,Na,E.K. Guru Street,Chennai,Tamil Nadu,600003","VEPERY (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"180","33854343769","33BFIPM9619B1ZI","ABRAR LEATHERS","231,Bazaar Street,Pernambut,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Central Sales Tax","CST FORM NO.1","10/12/2013","Active","-","Normal Dealer"
"181","33854343769","33BFIPM9619B1ZI","ABRAR LEATHERS","231,Bazaar Street,Pernambut,Tamil Nadu,Vellore,635810","GUDIYATHAM (WEST) (Circle)","Value Added Tax","VAT FORM I","10/12/2013","Active","-","Normal Dealer"
